"composite","groups","species"
"composite-habitats","Grassland/Scrub","Rain Quail, Jungle Bush Quail, Grey Francolin, Chestnut-bellied Sandgrouse, Sirkeer Malkoha, Yellow-wattled Lapwing, Indian Courser, Black-winged Kite, Egyptian Vulture, Short-toed Snake Eagle, Red-headed Vulture, Indian Vulture, Griffon Vulture, Tawny Eagle, Pallid Harrier, Montagu's Harrier, Common Hoopoe, White-naped Woodpecker, Indian Roller, Red-necked Falcon, Black Drongo, Bay-backed Shrike, Great Grey Shrike, Indian Silverbill, Richard's Pipit, Paddyfield Pipit, Tawny Pipit, Rufous-tailed Lark, Ashy-crowned Sparrow Lark, Indian Bushlark, Malabar Lark, Zitting Cisticola, Rufous-fronted Prinia, Jungle Prinia, Yellow-eyed Babbler"
"composite-habitats","Wetlands","Lesser Whistling Duck, Common Pochard, Garganey, Northern Shoveler, Indian Spot-billed Duck, Cotton Teal, Little Grebe, Brown Crake, Common Coot, Sarus Crane, Asian Openbill, Cinnamon Bittern, Black-crowned Night Heron, Striated Heron, Cattle Egret, Grey Heron, Purple Heron, Great Egret, Intermediate Egret, Little Egret, Black-headed Ibis, Glossy Ibis, Little Cormorant, Great Cormorant, Indian Cormorant, Great Thick-knee, Black-winged Stilt, Grey Plover, Pacific Golden Plover, Kentish Plover, Lesser Sand Plover, Greater Painted-snipe, Pheasant-tailed Jacana, Bronze-winged Jacana, Whimbrel, Eurasian Curlew, Black-tailed Godwit, Ruff, Curlew Sandpiper, Temminck's Stint, Dunlin, Little Stint, Pintail Snipe, Common Snipe, Common Sandpiper, Green Sandpiper, Common Greenshank, Common Redshank, Wood Sandpiper, Marsh Sandpiper, Little Pratincole, Brown-headed Gull, Black-headed Gull, Little Tern, Gull-billed Tern, Caspian Tern, Whiskered Tern, River Tern, White-bellied Sea Eagle, Common Kingfisher, Pied Kingfisher, Black-capped Kingfisher, White Wagtail, Grey-throated Martin"
"composite-migrants","Migratory-Local","Common Cuckoo, Lesser Sand Plover, Brown-headed Gull, Gull-billed Tern, Black-headed Cuckooshrike, Indian Golden Oriole, Ashy Drongo, Indian Paradise-flycatcher, Barn Swallow, Grey-headed Canary-flycatcher, Greenish Leaf Warbler, Large-billed Leaf Warbler, Western Crowned Leaf Warbler, Black Redstart, Blue Rock Thrush, Common Starling, Grey Wagtail, Olive-backed Pipit, Crested Bunting"
"composite-migrants","Migratory-Long-Distance","Garganey, Northern Shoveler, Common Pochard, Common Crane, Grey Plover, Pacific Golden Plover, Whimbrel, Eurasian Curlew, Black-tailed Godwit, Ruff, Curlew Sandpiper, Temminck's Stint, Dunlin, Little Stint, Common Snipe, Pintail Snipe, Common Sandpiper, Green Sandpiper, Common Greenshank, Marsh Sandpiper, Wood Sandpiper, Common Redshank, Black-headed Gull, Griffon Vulture, Western Marsh Harrier, Pallid Harrier, Montagu's Harrier, Brown Shrike, Common Chiffchaff, Red-breasted Flycatcher, Rosy Starling, Forest Wagtail, Western Yellow Wagtail, White Wagtail, Richard's Pipit, Tawny Pipit"
"composite-migrants","Resident","Lesser Whistling Duck, Cotton Teal, Indian Spot-billed Duck, Indian Peafowl, Red Spurfowl, Rain Quail, Jungle Bush Quail, Grey Francolin, Little Grebe, Rock Pigeon, Oriental Turtle Dove, Eurasian Collared Dove, Red Collared Dove, Spotted Dove, Laughing Dove, Asian Emerald Dove, Yellow-legged Green Pigeon, Mountain Imperial Pigeon, Chestnut-bellied Sandgrouse, Greater Coucal, Sirkeer Malkoha, Pied Cuckoo, Asian Koel, Banded Bay Cuckoo, Common Hawk Cuckoo, Indian Cuckoo, White-rumped Spinetail, Brown-backed Needletail, Himalayan Swiftlet, Alpine Swift, Indian House Swift, Asian Palm Swift, Crested Treeswift, Common Coot, White-breasted Waterhen, Brown Crake, Sarus Crane, Indian Thick-knee, Great Thick-knee, Black-winged Stilt, Yellow-wattled Lapwing, Red-wattled Lapwing, Kentish Plover, Little Ringed Plover, Greater Painted-snipe, Pheasant-tailed Jacana, Bronze-winged Jacana, Indian Courser, Little Pratincole, Little Tern, Caspian Tern, Whiskered Tern, River Tern, Asian Openbill, Woolly-necked Stork, Little Cormorant, Great Cormorant, Indian Cormorant, Cinnamon Bittern, Grey Heron, Purple Heron, Great Egret, Intermediate Egret, Little Egret, Cattle Egret, Indian Pond Heron, Striated Heron, Black-crowned Night Heron, Glossy Ibis, Black-headed Ibis, Indian Black Ibis, Black-winged Kite, Bearded Vulture, Egyptian Vulture, Oriental Honey Buzzard, Red-headed Vulture, White-rumped Vulture, Indian Vulture, Crested Serpent Eagle, Short-toed Snake Eagle, Changeable Hawk Eagle, Black Eagle, Tawny Eagle, White-eyed Buzzard, Shikra, Eurasian Sparrowhawk, Black Kite, White-bellied Sea Eagle, Brown Fish Owl, Malabar Trogon, Common Hoopoe, Malabar Grey Hornbill, Common Kingfisher, White-throated Kingfisher, Black-capped Kingfisher, Pied Kingfisher, Green Bee-eater, Indian Roller, Malabar Barbet, Coppersmith Barbet, Heart-spotted Woodpecker, Brown-capped Pygmy Woodpecker, Yellow-fronted Pied Woodpecker, Greater Golden-backed Woodpecker, White-naped Woodpecker, Rufous Woodpecker, Himalayan Golden-backed Woodpecker, Lesser Golden-backed Woodpecker, White-bellied Woodpecker, Common Kestrel, Red-necked Falcon, Peregrine Falcon, Rose-ringed Parakeet, Plum-headed Parakeet, Malabar Parakeet, Malabar Woodshrike, Common Woodshrike, Bar-winged Flycatcher-shrike, Ashy Woodswallow, Common Iora, Small Minivet, Large Cuckooshrike, Bay-backed Shrike, Long-tailed Shrike, Great Grey Shrike, Black-hooded Oriole, Black Drongo, White-bellied Drongo, Bronzed Drongo, Greater Racket-tailed Drongo, White-browed Fantail, Black-naped Monarch, Rufous Treepie, White-bellied Treepie, House Crow, Large-billed Crow, Rufous-tailed Lark, Ashy-crowned Sparrow Lark, Indian Bushlark, Sand Lark, Oriental Skylark, Crested Lark, Malabar Lark, Grey-throated Martin, Eurasian Crag Martin, Dusky Crag Martin, Wire-tailed Swallow, Red-rumped Swallow, Streak-throated Swallow, Yellow-browed Tit, Cinereous Tit, Indian Yellow Tit, Indian Nuthatch, Velvet-fronted Nuthatch, Flame-throated Bulbul, Red-vented Bulbul, Yellow-browed Bulbul, Square-tailed Bulbul, Lemon-rumped Warbler, Common Tailorbird, Rufous-fronted Prinia, Grey-breasted Prinia, Jungle Prinia, Ashy Prinia, Plain Prinia, Zitting Cisticola, Yellow-eyed Babbler, Oriental White-eye, Tawny-bellied Babbler, Dark-fronted Babbler, Indian Scimitar Babbler, Puff-throated Babbler, Quaker Tit Babbler, Common Babbler, Large Grey Babbler, Jungle Babbler, Grey-sided Laughingthrush, Asian Fairy-bluebird, Asian Brown Flycatcher, Indian Robin, Oriental Magpie Robin, White-bellied Blue Flycatcher, Tickell's Blue Flycatcher, Pied Bushchat, Orange-headed Thrush, Brahminy Starling, Common Myna, Bank Myna, Jerdon's Leafbird, Golden-fronted Leafbird, Thick-billed Flowerpecker, Pale-billed Flowerpecker, Nilgiri Flowerpecker, Purple-rumped Sunbird, Crimson-backed Sunbird, Purple Sunbird, Loten's Sunbird, Little Spiderhunter, White-browed Wagtail, Paddyfield Pipit, Yellow-breasted Greenfinch, House Sparrow, Yellow-throated Sparrow, Baya Weaver, Indian Silverbill, White-rumped Munia"
"composite-raptors","Generalists","White-eyed Buzzard, Shikra, Eurasian Sparrowhawk, Common Kestrel, Peregrine Falcon, Black Kite"
"composite-raptors","Habitat-Open","Black-winged Kite, Short-toed Snake Eagle, Griffon Vulture, Tawny Eagle, Western Marsh Harrier, Pallid Harrier, Montagu's Harrier, White-bellied Sea Eagle, Red-necked Falcon"
"composite-raptors","Habitat-Wooded","Oriental Honey Buzzard, Crested Serpent Eagle, Changeable Hawk Eagle, Black Eagle"
"composite-raptors","Scavengers","Bearded Vulture, Egyptian Vulture, Red-headed Vulture, White-rumped Vulture, Indian Vulture, Griffon Vulture, Black Kite"
"composite-waterbirds","Gulls and Terns","Little Tern, Caspian Tern, Whiskered Tern, River Tern, Black-headed Gull, Brown-headed Gull, Gull-billed Tern"
"composite-waterbirds","Others-Resident","Lesser Whistling Duck, Cotton Teal, Little Grebe, Common Coot, Brown Crake, Sarus Crane, Great Thick-knee, Black-winged Stilt, Kentish Plover, Greater Painted-snipe, Pheasant-tailed Jacana, Bronze-winged Jacana, Little Pratincole, Asian Openbill, Little Cormorant, Great Cormorant, Indian Cormorant, Cinnamon Bittern, Grey Heron, Purple Heron, Great Egret, Intermediate Egret, Little Egret, Cattle Egret, Striated Heron, Black-crowned Night Heron, Glossy Ibis, Black-headed Ibis, Common Kingfisher, Black-capped Kingfisher, Pied Kingfisher"
"composite-waterbirds","Shorebirds-Migratory","Grey Plover, Pacific Golden Plover, Lesser Sand Plover, Whimbrel, Eurasian Curlew, Black-tailed Godwit, Ruff, Curlew Sandpiper, Temminck's Stint, Dunlin, Little Stint, Common Snipe, Pintail Snipe, Common Sandpiper, Green Sandpiper, Common Greenshank, Marsh Sandpiper, Wood Sandpiper, Common Redshank"
"composite-waterbirds","Waterfowl","Lesser Whistling Duck, Cotton Teal, Indian Spot-billed Duck, Garganey, Northern Shoveler, Common Pochard"
